time,joy_delta,joy_speed,lqg_delta,lqg_speed,lqg_e_cg,lqg_e_cg_dot,lqg_theta_e,lqg_theta_e_dot,lqg_e_cg_hat,lqg_e_cg_dot_hat,lqg_theta_e_hat,lqg_theta_e_dot_hat,yaw,yaw_rate,vx,vy
0.402,0.0,0.0,-0.102,1.703,-0.121,0.003,0.027,0.543,-0.121,0.018,0.05,0.397,0.0,0.0,0.1,0.0
0.448,0.0,0.0,-0.103,1.699,-0.121,0.003,0.027,0.0,-0.12,0.027,0.068,0.302,0.0,0.0,0.1,0.0
0.506,0.0,0.0,-0.103,1.698,-0.118,0.003,0.027,-0.009,-0.115,0.031,0.081,0.24,0.0,0.0,0.1,0.0
0.539,0.0,0.0,-0.108,1.675,-0.118,0.003,0.027,0.0,-0.117,0.032,0.092,0.196,0.0,0.0,0.1,0.0
0.579,0.0,0.0,-0.105,1.689,-0.123,0.001,0.014,-0.263,-0.123,0.031,0.101,0.163,0.0,0.0,0.1,0.0
0.631,0.0,0.0,-0.096,1.731,-0.123,0.001,0.014,0.0,-0.121,0.031,0.109,0.141,0.0,0.0,0.1,0.0
0.68,0.0,0.0,-0.099,1.715,-0.12,0.006,0.058,0.892,-0.118,0.031,0.116,0.124,0.0,0.0,0.1,0.0
0.73,0.0,0.0,-0.104,1.695,-0.12,0.006,0.058,0.0,-0.119,0.03,0.122,0.11,0.0,0.0,0.1,0.0
0.779,0.0,0.0,-0.103,1.7,-0.118,0.002,0.018,-0.805,-0.116,0.03,0.128,0.103,0.0,0.0,0.1,0.0
0.829,0.0,0.0,-0.112,1.656,-0.118,0.002,0.018,0.0,-0.117,0.03,0.135,0.096,0.0,0.0,0.1,0.0
0.88,0.0,0.0,-0.116,1.638,-0.117,0.0,0.004,-0.268,-0.115,0.031,0.144,0.096,0.0,0.0,0.1,0.0
0.933,0.0,0.0,-0.131,1.575,-0.117,0.0,0.004,0.0,-0.116,0.032,0.153,0.096,0.0,0.0,0.1,0.0
0.979,0.0,0.0,-0.143,1.519,-0.117,-0.0,-0.004,-0.18,-0.116,0.034,0.165,0.101,0.0,0.0,0.1,0.0
1.029,0.0,0.0,-0.163,1.431,-0.117,-0.0,-0.004,0.0,-0.115,0.037,0.181,0.109,0.0,0.0,0.1,0.0
1.079,0.0,0.0,-0.19,1.309,-0.118,-0.0,-0.004,0.0,-0.116,0.042,0.201,0.121,0.0,0.0,0.1,0.0
1.13,0.0,0.0,-0.224,1.154,-0.118,-0.0,-0.004,0.0,-0.116,0.048,0.23,0.139,0.0,0.0,0.1,0.0
